GMDNR;GMDNAME;SEE_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
9040;Greifensee;830.0;691665.0;695946.0;241896.0;247739.0;693800.0;245200.0;2691665.0;2695946.0;1241896.0;1247739.0;2693800.0;1245200.0
9050;Zürichsee;8808.0;682601.0;714353.0;227657.0;247369.0;690500.0;235000.0;2682601.0;2714353.0;1227657.0;1247369.0;2690500.0;1235000.0
9073;Thunersee;4784.0;614257.0;630110.0;167064.0;177247.0;621500.0;171200.0;2614257.0;2630110.0;1167064.0;1177247.0;2621500.0;1171200.0
9089;Brienzersee;2977.0;634122.0;646789.0;170863.0;178693.0;640600.0;175000.0;2634122.0;2646789.0;1170863.0;1178693.0;2640600.0;1175000.0
9148;Bielersee / Lac de Bienne;3970.0;572052.0;584660.0;209652.0;220433.0;578500.0;213800.0;2572052.0;2584660.0;1209652.0;1220433.0;2578500.0;1213800.0
9151;Lac de Neuchâtel;21829.0;538531.0;570489.0;181795.0;206804.0;555600.0;194800.0;2538531.0;2570489.0;1181795.0;1206804.0;2555600.0;1194800.0
9157;Baldeggersee;522.0;660948.0;663534.0;225507.0;229925.0;662200.0;227900.0;2660948.0;2663534.0;1225507.0;1229925.0;2662200.0;1227900.0
9163;Sempachersee;1439.0;651767.0;657168.0;218806.0;224994.0;654300.0;221700.0;2651767.0;2657168.0;1218806.0;1224994.0;2654300.0;1221700.0
9172;Hallwilersee;1023.0;657440.0;660136.0;233026.0;241217.0;658700.0;237200.0;2657440.0;2660136.0;1233026.0;1241217.0;2658700.0;1237200.0
9175;Zugersee;3840.0;676885.0;682744.0;212835.0;226295.0;681200.0;215500.0;2676885.0;2682744.0;1212835.0;1226295.0;2681200.0;1215500.0
9179;Vierwaldstättersee;11384.0;663950.0;690388.0;193693.0;215056.0;677100.0;204000.0;2663950.0;2690388.0;1193693.0;1215056.0;2677100.0;1204000.0
9216;Sihlsee;1081.0;700059.0;704814.0;215725.0;223498.0;702200.0;220000.0;2700059.0;2704814.0;1215725.0;1223498.0;2702200.0;1220000.0
9239;Sarnersee;740.0;657207.0;661417.0;188533.0;193514.0;659300.0;190900.0;2657207.0;2661417.0;1188533.0;1193514.0;2659300.0;1190900.0
9267;Walensee;2417.0;725905.0;741408.0;219384.0;222315.0;733600.0;220500.0;2725905.0;2741408.0;1219384.0;1222315.0;2733600.0;1220500.0
9270;Aegerisee;728.0;687238.0;691412.0;217452.0;221450.0;689500.0;219600.0;2687238.0;2691412.0;1217452.0;1221450.0;2689500.0;1219600.0
9276;Lac de la Gruyère/Greyerzersee;856.0;572489.0;575712.0;162473.0;174243.0;574100.0;164200.0;2572489.0;2575712.0;1162473.0;1174243.0;2574100.0;1164200.0
9294;Murtensee/Lac de Morat;2272.0;569130.0;576815.0;194885.0;200816.0;572800.0;197700.0;2569130.0;2576815.0;1194885.0;1200816.0;2572800.0;1197700.0
9326;Bodensee;17816.0;706676.0;760035.0;260624.0;283007.0;745400.0;273900.0;2706676.0;2760035.0;1260624.0;1283007.0;2745400.0;1273900.0
9710;Lago di Lugano;3008.0;710115.0;722853.0;84867.0;97365.0;716400.0;88600.0;2710115.0;2722853.0;1084867.0;1097365.0;2716400.0;1088600.0
9711;Lago Maggiore;4139.0;697273.0;710905.0;105881.0;115229.0;707400.0;112900.0;2697273.0;2710905.0;1105881.0;1115229.0;2707400.0;1112900.0
9751;Lac de Joux;879.0;508262.0;515222.0;162400.0;169126.0;511700.0;165800.0;2508262.0;2515222.0;1162400.0;1169126.0;2511700.0;1165800.0
9757;Lac Léman;34516.0;500391.0;560957.0;117793.0;152255.0;530600.0;148200.0;2500391.0;2560957.0;1117793.0;1152255.0;2530600.0;1148200.0
9780;Lago di Como;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
